Department,Major,Degree,School,Course Title,Course Description,Cost
Housing & Community Affairs,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,PRINCIPLES OF ENGLISH GRAMMER,"A study of the various aspects of English grammar, such as sentence structure, agreement, tenses, pronoun reference, and punctuation, to increase students' knowledge of the English language and to enhance their writing capabilities.",336.00
Fire/Rescue Services,Fire Protection Engineering,AA,COLUMBIA SOUTHERN UNIVERSITY,BFS 3440 BUILDING CONSTRUCTION FOR FIRE PROTECTION,"Overview of building construction, building types, designs of structures, and a knowledge of building construction in relation to firefighting.",0.00
Fire/Rescue Services,Fire Protection Engineering,AA,COLUMBIA SOUTHERN UNIVERSITY,BFS 3460 FIRE PROTECTION SYSTEMS,"Provides basic principles on fire protection systems, system components, sprinklers, water spray, water mist, standpipe, and ultra high-speed water spray systems.",540.00
Fire/Rescue Services,Fire Protection Engineering,AA,COLUMBIA SOUTHERN UNIVERSITY,BFS 3470 FIRE PROTECTION HYDRAULICS AND WATER SUPPLY,"Provides a foundational understanding of the use of water in fire protection, applies hydraulic principles to analyze and solve water supply problems.",540.00
Police,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,INTRODUCTION TO NUTRITION,"Study of nutrition as it relates to health and disease. Includes functions of nutrients; factors affecting nutrient intake, absorption, and utilization; and nutrient needs during the life cycle and illness. Emphasis on planning and preparing daily diets f",336.00
Correction & Rehabilitation,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,SOCIAL WORK RESEARCH,"Students are provided an opportunity to learn the elements of the
scientific method and to develop basic research competence in
the context of social work practice, including the student's own.
The course is concerned with the identification and formulati",915.00
Transportation,English Language and Literature,Certificate,MONTGOMERY COUNTY COMMUNITY COLLEGE,ENGLISH,Reading & Writing 2,505.00
Human Resources,None,Non-Degree,University of Maryland - University College,RACE AND ETHNIC RELATIONS,"An analysis of race- and ethnic-related issues in society. The goal is to examine, analyze, project future trends in, and communicate effectively about minority-majority issues. Discussion covers the impact of inequality, prejudice, and discrimination on",753.00
Police,Forensic Science,Masters (MA/MS/MPH/etc.),UNIVERSITY OF FLORIDA,METABOLIC BIOCHEMISTRY,"This book based course will introduce students to the principles of anabolic and catabolic pathways and cellular energy efficiency. The course also provides an understanding of the biological, physical and chemical processes for each reaction pathway.
",1575.00
Fire/Rescue Services,Fire Science,AA,PENN FOSTER COLLEGE,FIRE PREVENTION,This course provides a foundation of theoretical information to help students understand the principles of the use of water in fire protection. Students apply hydraulic principles to analyze and to solve water supply problems.,780.00
Housing & Community Affairs,Criminology and Criminal Justice,Bachelors (BA/BS),University of Maryland - University College,CCJS 230 - INTRODUCTION TO CORRECTIONS,Criminal Law in Action,900.00
Health & Human Services,None,Non-Degree,University of Maryland - Baltimore County,SHRM PHR/SPHR,"This program is designed to prepare students for the Professional Human Resources (PHR) and Senior Professional Human Resources (SPHR) examinations. Using the SHRM Learning System which is included in the cost of tuition, participants review the six functional areas, responsibilities and associated knowledge as defined by the HR Certification Institute. Besides being an effective way to prepare for the PHR and SPHR certification exams, the SHRM Learning System also provides professional development for you and your HR Department with content that is updated with the latest HR policies and legislation. The course provides a solid foundation for managing the HR challenges you face in today's demanding work environment; is supplies a current reference of HR practices, broadens the perspective of functional specialists, and strengthens individual competencies and productivity.",1195.00
Transportation,Civil and Environmental Engineering,Certificate,School of PE,P.E. CIVIL REVIEW COURSE,"Our PE Civil Exam Review Course offers thorough review of majority of the topics from all five modules (Construction, Geotechnical, Structural, Transportation, and Water Resources & Environmental) that will be covered on the PE Civil Exam.",1190.00
Health & Human Services,Social Work,Bachelors (BA/BS),BOWIE STATE UNIVERSITY,SOCIAL WORK METHODS II,"This is the second course of the methods sequence. Builds on the conceptual framework that covers the basic elements of social work practice by focusing attention on the inventive,
evaluative, and termination phases of the social work process.",621.00
Health & Human Services,Social Work,Bachelors (BA/BS),BOWIE STATE UNIVERSITY,FIELD INSTRUCTION I,"A course designed to provide practice experience through placement in a community agency or program. Emphasis placed on understanding the programs and services of the agency, together with interviewing, initial contact with clients, data collection and re",1035.00
Recreation,Government and Politics,Masters (MA/MS/MPH/etc.),UNIVERSITY OF BALTIMORE,PUAD 630 - ANALYTICAL TECHNIQUES,"Review of analytical techniques conventionally used in the planning, formulation and implementation of public policy. Topics include forecasting techniques, cost-benefit analysis, PERT and other commonly used techniques.",915.00
Recreation,Government and Politics,Masters (MA/MS/MPH/etc.),UNIVERSITY OF BALTIMORE,PUAD - 732 - LEADERSHIP AND ORGANIZATIONAL CHANGE,"Nature of technological and environmental change as it affects the management decisions of the agency. Techniques for organizational change, including diversified but integrative decision-making structures and techniques, implementation techniques, enforc",915.00
Health & Human Services,Health & Human Services,Bachelors (BA/BS),University of Maryland - University College,INTRODUCITON TO SOCIAL SCIENCES,"An interdisciplinary introduction to the study of society that addresses the issue of what it is to be a social scientist from a variety of social science perspectives. The objective is to use the empirical and theoretical contributions of the different social science disciplines to better understand the nature of society. Topics include research methods in the social science disciplines and the relationships among the different social science disciplines. Discussion surveys the various social sciences, including psychology, sociology, anthropology, and gerontology. A historical overview of the development of the social sciences is provided, and an analysis of social phenomena that integrates insights from the social sciences is presented.",753.00
Health & Human Services,Health & Human Services,Bachelors (BA/BS),University of Maryland - University College,DIVERSITY AWARENESS  BEHS 220,"An examination of the many dimensions of diversity within the framework of modern culture and principles of social justice. The aim is to interact and communicate effectively and appropriately within a diverse society. Emphasis is on raising consciousness of diversity and using critical thinking with respect to stereotypes, prejudice, and discrimination. Discussion covers issues related to age, disability, race, religion, gender, sexual orientation, national origin, and socioeconomic status, as well as current issues in diversity studies.",753.00
Transportation,Not Listed,Masters (MA/MS/MPH/etc.),MORGAN STATE UNIVERSITY,THESIS SEMINAR (CREP 799),The student applies selected planning concepts and methods to an important substantive area and conducts research under careful supervision.,696.00
Health & Human Services,Health & Human Services,Ph.D. (DDE),WALDEN UNIVERSITY,WRITING A QUALITY PROSPECTUS HUMN  8550,"This course is focused specifically on the process of writing the dissertation prospectus. Students will use their preliminary research plan, developed previously, and develop a problem statement, to be used in the dissertation. They will further refine the problem statement and carry out the planning and the library research that will bring them to the formulation of a dissertation prospectus.",930.00
Health & Human Services,Health & Human Services,Ph.D. (DDE),WALDEN UNIVERSITY,QUANTITATIVE REASONING AND ANALYSIS,"This research course provides students with core knowledge and skills for designing qualitative research at the doctoral level, including understanding data analysis. Students explore the nature of qualitative inquiry; fieldwork strategies and the nature of observation; theoretical approaches to qualitative research; the importance of quality assurance; and the ethical, legal, and social change implications of conducting qualitative research and producing knowledge. Students use software to code data and interpret and present results. Students will apply and synthesize their knowledge and skills by developing a qualitative research plan.",900.00
Transportation,Not Listed,Masters (MA/MS/MPH/etc.),MORGAN STATE UNIVERSITY,THESIS SEMINAR (CREP 799),The student applies selected planning concepts and methods to an important substantive area and conducts research under careful supervision.,696.00
Recreation,Government and Politics,Masters (MA/MS/MPH/etc.),STRAYER UNIVERSITY,MANAGERIAL ECONOMICS & GLOBALIZATION,Applies relevant economic theory to develop a framework of analysis and techniques that business managers can use in deciding how to allocate a firm's scarce resources to achieve its objectives. Uses economic analysis to support business strategy decision,1830.00
Health & Human Services,Social Work,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,PARADIGMS CLINICAL SW PRACTICE,"The foundation area, this course seeks to integrate these components with the therapeutic perspectives traditionally associated with the practice of clinical social work. It will demonstrate how a comprehensive bio-psychosocial assessment of the individua",915.00
Police,Law,Juris Doctor,UNIVERSITY OF BALTIMORE,INTRODUCTION TO LAWYERING SKILLS/CIVIL PROCEDURE I,"Integrates rigorous instruction in legal analysis, research, and writing with the substantive law of civil procedure to give beginning law students an opportunity to combine skills and doctrine the way lawyers must in the practice of law. The course is ta",2130.00
Correction & Rehabilitation,Criminal Justice,AA,American Public University System,POLITICAL SCIENCE,"An overview of the field of international and global politics. The nation, state, factors of power, collective security, international trade, regional and international, organization, sources of conflict and convergence are addressed.",750.00
Correction & Rehabilitation,None,Non-Degree,FREDERICK COMMUNITY COLLEGE,SPANISH 101,"Introduces Spanish grammar and vocabulary. Develops oral and reading skills in the language and competence in answering basic questions. Through the reading of lifelike dialogs, students gain insight into Spanish culture, thought and expression.",327.00
Fire/Rescue Services,Emergency Management,Bachelors (BA/BS),University of Maryland - University College,EMGT  306 - POLITICAL AND POLICY ISSUES IN EMERGENCY MANAGEMENT,"An examination of the legal and regulatory principles, policies, and issues that affect emergency management. The aim is to analyze key forces that influence policy, apply the principles of policy and law, and identify and analyze emerging issues to impro",768.00
Police,Criminal Justice,AA,FREDERICK COMMUNITY COLLEGE,HISTORY OF THE UNITED STATES,"Examines the economic, political and social forces that have shaped the patterns of life, institutions and thought in the United States through the Civil War.",408.75
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,NSCI 362 ENVIRON CHANGE SUSTAINABILITY,A multidisciplinary study of the global environment and human impact on it. The goal is to apply scientific reasoning to make informed decisions about the role of human activity on global environmental sustainability. Emphasis is on the concept of sustain,753.00
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,ACCOUNTING I,"An introduction to the basic theory and techniques of contemporary financial accounting. The objective is to identify the fundamental principles of accounting, identify and analyze business transactions, prepare financial statements, and communicate this",753.00
Fire/Rescue Services,Other/Misc.,Bachelors (BA/BS),COLUMBIA SOUTHERN UNIVERSITY,STUDENT LEARNING SUCCESS,Introduces students to the skills that will promote academic success in a distance education learning environment. Students will also learn to identify and use appropriate university resources.,30.00
Fire/Rescue Services,Other/Misc.,Bachelors (BA/BS),COLUMBIA SOUTHERN UNIVERSITY,ENGLISH,"Introduction to the basic concepts and requirements of college-level writing. Provides students with the ability to implement effective communication skills via the written word.

",30.00
Health & Human Services,None,Non-Degree,JOHNS HOPKINS UNIVERSITY,SUPERVISION RELATIONSHIP TRAINING,"Students examine models of instructional supervision, including clinical supervision and various approaches to personalizing supervisory strategies. Emphasis is on supervision skills, including the assessment of teacher performance, effective conferring strategies, and working with teachers to construct instructional improvement plans. Students apply concepts developed to practical situations in laboratory sessions.",60.00
County Executive,Business/Admin./Mgmt.,Bachelors (BA/BS),Montgomery College Rockville Campus,ANTHROPOLOGY - AN-105,"An exploration of fundamental anthropological concepts, methods, and theories used to interpret traditional and modern cultures. Emphasis is placed on the components of cultural systems and the investigation of the impact of globalization on changing cult",336.00
Health & Human Services,None,Non-Degree,JOHNS HOPKINS UNIVERSITY,MODELS OF SUPERVISION TRAINING,"A strong emphasis is placed upon the provision of opportunities for students to develop the skills and competencies that are necessary for successful educational leadership. Students have the opportunity to combine their practical experience with current research regarding best practices in areas such as leadership, curriculum and instruction, school law, technology, and other important curricula areas. The seminar is a capstone class where students synthesize prior learning as well as explore some current issues; the internship provides an opportunity for students to create a portfolio based on hands-on experiences in a school. The internship is completed in the school where the students are assigned to work and is completed under the careful supervision of an in-school mentor and a university supervisor.",60.00
Health & Human Services,None,Non-Degree,JOHNS HOPKINS UNIVERSITY,GROUP/MULTICULTURAL SUPERVISION TRAINING,"The Counseling Center offers a variety of therapy groups, specific population-oriented support groups, and skills building groups. Developing and sustaining groups can be very challenging, but every effort is made to provide each intern the opportunity to co-lead at least one group per year with a professional staff member. Interns are also encouraged to develop groups in their own areas of interest with the guidance of the professional staff.",60.00
Correction & Rehabilitation,None,Non-Degree,University of Maryland - University College,HOMELAND SECURITY 495 - PUBLIC POLICY,Leadeship principles,0.00
Health & Human Services,None,Non-Degree,JOHNS HOPKINS UNIVERSITY,ETHICS SUPERVISION TRAINING,"The Ethics Board is responsible for the maintenance of the academic integrity of the undergraduate programs in the Krieger School of Arts and Sciences and the Whiting School of Engineering and for all matters concerning adherence to this Constitution, including but not limited to: receiving reports of suspected violations, consulting with members of the University community on ways to reduce possible violations, appointing hearing panels, maintaining confidential records, orienting new students to the ethic standards of the community.",60.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),SALISBURY UNIVERSITY,ADV. PRACTICE WITH INDIVIDUAL,"Familiarizes the practitioner with strengths assessment, standardized diagnostic criteria and other processes used within the field to categorize behavior. Utilizes the concepts of mental health, tying an accurate assessment to a specific intervention plan. Specific assessment techniques including formal and informal mental status examinations, global assessment of functioning techniques and diagnostic assessment using the Diagnostic and Statistical Manual (DSM)-TR are explored. Emphasis on advanced interview skill techniques.",972.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),SALISBURY UNIVERSITY,PSYCHOPATHOLOGY,"Provides extensive knowledge of the major forms of mental illness and their treatment. Develops competence in multi-axial assessment by mastering the accepted diagnostic code, DSM-IV TR. Provides skills in development of appropriate and contemporary treatment plans. Explores the factors associated with mental illness such as age, race, ethnicity and gender",858.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),SALISBURY UNIVERSITY,FIELD INSTRUCTION III,The first of a two semester (fall/spring) sequence of supervised advanced field practicum experience in the delivery of social services where students are required to participate in an agency-based field practicum for three days per week under the supervision of an agency-based field instructor with an M.S.W. Successful completion of the two-course sequence requires a student to fulfill a minimum of 744 hours of field instruction within the same social welfare agency accumulated across the fall and spring semesters.,0.00
Health & Human Services,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),American Public University System,ADMINISTRATION THEORY,This course covers the major administrative theories that drive macro-level public behavior. It will begin with a consideration of the broad significance of the study of public organizations for individuals in modern society. It will then examine how theo,855.00
Correction & Rehabilitation,Human Resources,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTERCULTURAL COMMUNICATION AND LEADERSHIP,"A study of organizational communication, leadership, and decision-making skills essential for all managers in intercultural environments. Theories of culture are examined and applied in relation to leadership style and practices, as well as to organizatio",1374.00
Correction & Rehabilitation,Human Resources,Masters (MA/MS/MPH/etc.),University of Maryland - University College,FINANCIAL DECISION MAKING FOR MANAGERS,"Knowledge of the fundamental concepts of financial accounting and economics, including opportunity cost, the time value of money, and financial analysis. An investigation of financial decision making in business, government, and not-for-profit organizatio",0.00
Human Resources,None,Non-Degree,MD SHRM State Council,THE MD SHRM STRATEGIC BUSINESS COURSE,Managing Individual & Organizational Change: Everyone is engaged in the process of managing change. Participants will learn how to understand the five stages of the change process and use techniques to help people who are resisting change. They will trans,640.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),Mount St Mary's University,MHA 501 ORGANIZATIONAL COMMUNICATION,"Oral and written forms of communication are vital for the organizational, interpersonal, and leadership skills for the health care administrator. The ability to organize and communicate thoughts in an effective, concise, and logical manner is of paramount",261.00
Transportation,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - College Park,ACCOUNTING 608 FRAUD EXAMINATION AND ACCOUNTING ETHICS,"A study of the nature of fraud, elements of fraud, fraud prevention, fraud detection, fraud investigation, use of controls to prevent fraud, and methods of fraud resolution. Emphasis is on the employment of forensic accounting techniques to analyze what i",1374.00
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",INTRODUCTION TO GEOGRAPHY ( # 81406-6980),"An introduction to the broad field of geography. Emphasis is on concepts relevant to understanding global, regional, and local issues.",798.00
Health & Human Services,Not Listed,Certificate,BOSTON UNIVERSITY,FOUNDATION IN AGING CERTIFICATE,"Gain the knowledge and skills necessary for effective practice in the growing field of aging services. Through five essential modules, the Certificate provides an overview of the major elements of the aging process from a biological, psychological, social",500.00
Fire/Rescue Services,Other/Misc.,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore County,EHS 630 ISSUES AND PROPOSALS,"This course provides students with the opportunity to do an in-depth analysis of a current issue of the student's choice in emergency healthcare and present a project proposal based on this issue. The semester will begin with issues discussion, and procee",1530.00
Fire/Rescue Services,Nursing,AA,MONTGOMERY COMMUNITY COLLEGE,NURSING IN HEALTH ILLNESS,"Introduces common alterations in physiologic processes that affect basic human needs. Related nursing care, developmental and pharmacologic principles, and advanced psychomotor skills are taught.",448.00
Fire/Rescue Services,Nursing,AA,MONTGOMERY COMMUNITY COLLEGE,NURSING IN MENTAL HEALTH ILLNESS,"First of two related courses (with MH 102). An introduction for beginning mental health students in their training toward becoming responsible, aware agents-for-change in their communities. MH 101 covers history, concepts, roles, and institutions of the m",448.00
Correction & Rehabilitation,Psychology,Masters (MA/MS/MPH/etc.),ARGOSY UNIVERSITY,APPRAISAL AND ASSESSMENTS,"This course provides an in-depth examination of measurement strategies and psychometric properties, for the assessment of aptitudes, intelligence, interests, performance, and personality of diverse populations. Ethical, legal, and social issues in test theory, construction, and evaluation are examined.",1830.00
Health & Human Services,Sociology,Bachelors (BA/BS),University of Maryland - University College,ALCOHOL IN U.S. SOCIETY,"An interdisciplinary examination of the use and abuse of the drug alcohol from the perspectives of psychology, physiology, sociology, medicine, counseling, law and public health. The aim is to examine current research and trends in the treatment of alcohol abuse and dependence (including prevention, assessment, and intervention) and to explore the history, etiology, effects, and current treatment practices. The effects of alcohol throughout the lifespan are explored in relation to gender, families, race, age, the workplace, and public safety.",753.00
Health & Human Services,Sociology,Bachelors (BA/BS),University of Maryland - University College,HISTORY OF TERRORISM,"A survey of terrorism in the modern world, investigating the ideology of political violence since 1789. Topics include the organization, aims, arms, financing, and composition of terrorist groups, from the 1880s in Russia to the present day worldwide. Various interpretations of the terrorist phenomenon are discussed. The goal is to use primary and secondary historical resources to explore how terrorism flourishes in the contemporary world, how the United States and international political organizations grapple with strategic planning, and operational procedures to stem the threat to national and international security.",753.00
Health & Human Services,Sociology,Bachelors (BA/BS),University of Maryland - University College,HISTORY OF VIOLENCE IN AMERICA,"An examination of the complex phenomenon of domestic violence from a multidisciplinary perspective that integrates individual, social, political, cultural/ethnic, economic, legal, and medical viewpoints. The aim is to evaluate research and theoretical models of domestic violence; assess institutional, community, and individual responses to domestic violence; and locate effective resources. Topics include neglect and the physical, emotional, and sexual abuse of children, partners, and the elderly. Discussion also covers response systems and mechanisms to prevent and treat violence.",324.00
Environmental Protection,Job Related,Certificate,GEORGE MASON UNIVERSITY,PROJECT MANAGEMENT ESSENTIALS AND BEST PRACTICES,"Organizations are successfully using project management concepts to deal with increasingly competitive markets, financial pressures to improve performance, restructuring, and globalization. Project management provides a structure for dealing with the  fas",1395.00
Environmental Protection,Job Related,Certificate,GEORGE MASON UNIVERSITY,PROJECT MANAGEMENT INTEGRATION WITH MICROSOFT PROJECT 2007,"This two-day course focuses on the application of Microsoft Project to planning and managing projects and requires a working knowledge of Microsoft Project Professional 2010 (MS Project). While the emphasis is on using the PMBOK Guide, students learn how",435.00
Correction & Rehabilitation,Mechanical Engineering,Bachelors (BA/BS),University of Maryland - College Park,ELECTRONICS AND INSTRUMENTATION ONE,"Students learn fundamental concepts of electronics, assembly of electronic components into functional circuits, and integration of functional electronic devices and circuits into a system. In the lab component, students will learn to assemble and evaluate circuits and systems.",897.00
General Services,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,FIN 100        PRINCIPLES OF FINANCE,"Serves as a foundation course in business finance. Provides a 
conceptual framework for the financial decision-making process and introduces tools and techniques of finance including financial mathematics, capital budgeting, sources of funds and financial",1725.00
General Services,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,SCI 110     INTRODUCTION TO PHYSICAL SCIENCE,"Introduces the student to basic concepts from the physical sciences such as motion, force, energy, heat, electricity, magnetism and the atomic theory of matter. Discusses the scientific principles that underlie everyday phenomena, modern technologies and",105.00
Police,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,PUAD 734 STRATEGIC PLANNING,"Covers the steps involved in developing a strategic plan for public and nonprofit organizations. Students learn how to perform a stakeholder analysis, conduct a situation analysis, develop appropriate mission statements, design effective performance measures and implement a strategic plan.",900.00
Police,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,PUAD 798 PROBLEM SOLVING IN PA,"Capstone course requires students to integrate and apply analytical skills, knowledge bases, managerial principles and normative frameworks learned in M.P.A. core courses to concrete management situations",900.00
General Services,Business/Admin./Mgmt.,AA,FREDERICK COMMUNITY COLLEGE,ECONOMICS ,"Introduces basic concepts, the national accounts, national income analysis, business cycles and the monetary system with an essentially macro-economic approach.",354.25
General Services,Business/Admin./Mgmt.,AA,FREDERICK COMMUNITY COLLEGE,ALGEBRA,"Develops introductory algebra skills. Topics include variables and algebraic expressions, order of operations, graphing and solving linear equations, like terms, the distributive law, applications of linear equations, systems of linear equations, polynomi",354.25
General Services,Business/Admin./Mgmt.,AA,FREDERICK COMMUNITY COLLEGE,SOCIOLOGY,Introduces the student to the study of society and the impact of society upon the individual. Exemplifies social processes in cultural patterns and institutions. Examines group values at various levels of human relationship.,354.25
General Services,Business/Admin./Mgmt.,AA,FREDERICK COMMUNITY COLLEGE,HEALTH NUTRITION,"Presents the basic principles of human nutrition with emphasis on
the nutrients and factors that affect their use in the human body.",354.25
Health & Human Services,None,Non-Degree,MONTGOMERY COMMUNITY COLLEGE,PROJECT MANAGEMENT ESSENTIALS AND BEST PRACTICES (PMC001),This course is intended as a prerequisite to the Project Management Professional (PMP)  Exam Prep and the Certified Associate in Project Management (CAPM)  Exam Prep. It provides the mandatory classroom hours as well as the framework for organizational,504.00
Health & Human Services,Pre-Nursing,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,GENERAL BIOLOGY,"Introduction to biology for non-science majors with both lecture and laboratory components. this course surveys ecology, chemistry of life, cell physiology, human organ systems, genetics, and molecular genetics. The ability to think critically and to draw",392.00
Correction & Rehabilitation,Business/Admin./Mgmt.,Certificate,Villanova University,SIX SIGMA GREENBELT CERTIFICATION,"Six Sigma, is a system designed to increase efficiency and enhance effectiveness in any organization. Through the use of various analytical procedures and concepts, the Six Sigma curriculum teaches individuals to insightfully identify organizational proc",1782.00
Correction & Rehabilitation,Mechanical Engineering,Bachelors (BA/BS),University of Maryland - College Park,FLUID MECHANICS,"Principles of fluid mechanics. Mass, momentum and energy conservation. Hydrostatics. Control volume analysis. Internal and external flow. Boundary layers. Modern measurement techniques. Computer analysis. Laboratory experiments.",642.50
Human Resources,None,Non-Degree,MD SHRM STATE COUNCIL,2012 MD SHRM STRATEGIC BUSINESS COURSE:  MANAGING INDIVIDUAL AND ORGANIZATIONAL CHANGE,Managing Individual & Organizational Change: Everyone is engaged in the process of managing change. Participants will learn how to understand the five stages of the change process and use techniques to help people who are resisting change. They will trans,640.00
Police,Law,Juris Doctor,University of Maryland - Baltimore,BUSINESS 101,"This course provides introductory concepts in business. It is intended for students who are interested in studying business law, but who have no prior knowledge or experience in business. Topics of coverage include basic concepts in accounting, financial",769.00
Police,Psychology,Masters (MA/MS/MPH/etc.),ARGOSY UNIVERSITY,SEMINAR,This second-year course provides a forum to examine issues related to students' field experience or the development of their special topics papers. Students completing the Master's Thesis produce an original project examining a forensic psychology issue t,1830.00
Correction & Rehabilitation,Health & Human Services,Bachelors (BA/BS),CHAMBERLAIN COLLEGE OF NURSING,COMMUNITY HEALTH,"This course, for RN to BSN option students, focuses on concepts of health promotion, health maintenance, education, disease prevention and coordination of care for individuals, families or communities. The course introduces students to concepts in epidemi",1830.00
General Services,Computer Systems Management,AA,Montgomery College Rockville Campus,WEB APPLICATION DEVELOPMENT USING PHP & MYSQL,An introduction to the creation and maintenance of data- driven Web sites using PHP and MySQL. Create a MySQL database and maintain the database dynamically using the programming language.,336.00
General Services,Computer Systems Management,AA,Montgomery College Rockville Campus,ADVANCED DATABASE APPLICATION,"Intended for the intermediate database user, this course covers topics such as sub forms, integration of databases with other applications, customization, and macros. It also introduces VBA. Together with CA 141 this will create a complete and thorough database series.",336.00
Finance,Computer Science,AA,Montgomery College Rockville Campus,SIGN LANGUAGE  ASL I,The course is designed for students who plan to enter fields in which they would work with Deaf people on a daily basis.,336.00
Health & Human Services,African-American Studies,Ph.D. (DCS),HOWARD UNIVERSITY,PROBLEMS OF SOUTHERN AFRICA - POLS 271 - 01,Focuses on the economic and health problems in sub-saharan Africa,305.00
Finance,Computer Science,AA,Montgomery College Rockville Campus,MATHEMATICS,"For students who need review of the fundamentals of arithmetic, a thorough introduction to signed numbers, and a presentation of the basic concepts of algebra. Topics include proportion and percent, polynomials, factoring, linear equations and inequalities in one variable including systems, graphing, integer exponents and quadratic equations. Applications are included throughout the course.",336.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTRODUCTION TO HEALTH CARE ADMINISTRATION,An introduction to the principles of management and leadership as the foundations for the administration of health care products and service delivery. The evolution of management principles and practices are traced and the bases for health care administra,1374.00
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTERCULTURAL COMMUNICATION AND LEADERSHIP,"A study of organizational communication, leadership, and decision-making skills essential for all managers in intercultural environments. Theories of culture are examined and applied in relation to leadership style and practices, as well as to organizatio",456.00
Correction & Rehabilitation,Accounting (Business),Masters (MA/MS/MPH/etc.),STRAYER UNIVERSITY,STRATEGIC MANAGEMENT CAPSTONE,"Examines the strategic management process and implementation of successful business strategies in the highly competitive and dynamic global environment. Analyzes the impact of technology, government policy, and world economic and political forces on strat",1830.00
Environmental Protection,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ACCOUNTING 213,"A critical examination, analysis, and application of the tax law for individuals. Interrelated subjects include income inclusions and exclusions, property transactions, nontaxable exchanges, capital asset transactions, general deductions and losses, busin",224.00
Police,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,FOOD SERVICE SANITATION,"This course meets the 15 clock hours plus test required by the Maryland State Department of Health and Mental Hygiene. Topics include foodborne diseases, importance of employee personal hygiene and habits, and approved procedures for handling utensils and",112.00
Health & Human Services,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),American Public University System,RESEARCH METHODS IN SOCIAL SCIENCE,"This course presents the research methods commonly used by all social scientists. Consequently, the course will prepare the student to understand material and issues associated with but not limited to the logic of the scientific method, research design, a",975.00
Finance,Computer Science,AA,Montgomery College Rockville Campus,WORD PROCESS APPLICATION,Course is designed to enable the student to aquire and apply word processing skills by studing word processing software currently used in business.,168.00
Technology Services,Information Technology,Bachelors (BA/BS),University of Maryland - University College,IFSM 300 (INFORMATION SYSTEMS IN ORGANIZATIONS),An overview of information systems and how they provide value by supporting organizational objectives. The goal is to analyze business strategies to recognize how technology solutions enable strategic outcomes and to identify information system requiremen,720.00
Health & Human Services,Not Listed,Certificate,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,GERONTOLOGY,Focuses on a variety of current health issues to enable students to make prudent personal health decisions.,110.00
Transportation,None,Non-Degree,Montgomery College Rockville Campus,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,Geographic information systems (GIS) integrates the application of spatial data handling procedures with the study of geographic problems. The course utilizes computer software designed for the study of environmental problems based upon data compiled from,336.00
Correction & Rehabilitation,Criminal Justice,AA,COMMUNITY COLLEGE OF BALTIMORE COUNTY,FORENSIC BIOLOGY,"Designed for students with a broad interest in forensic science, as an option for students majoring in criminal justice, and for those who wish to prepare for transfer to a 4-year college or university forensic science program. It stresses the integration of the underlying principles of physical science, cell biology, anatomy and physiology as they apply to forensic biology. It emphasizes the process of science through the laboratory portion that also introduces students to techniques used in forensic laboratories.",808.00
Correction & Rehabilitation,Criminal Justice,AA,COMMUNITY COLLEGE OF BALTIMORE COUNTY,INTRO TO STATISTICAL METHOD,"Develops an understanding of statistical methodology and use of critical judgment in analyzing data sets; covers descriptive statistics, introduction to probability, normal and binomial distributions, hypothesis testing, confidence intervals, regression and correlation, chi-square distribution, and introduction to ANOVA. A statistical computer package, e.g. Minitab, is introduced as a computational tool.",808.00
